team,adjustPoints,autoOwnershipPoints,autoPoints,autoQuestRankingPoint,autoRunPoints,autoScaleOwnershipSec,autoSwitchAtZero,autoSwitchOwnershipSec,endgamePoints,faceTheBossRankingPoint,foulCount,foulPoints,rp,techFoulCount,teleopOwnershipPoints,teleopPoints,teleopScaleBoostSec,teleopScaleForceSec,teleopScaleOwnershipSec,teleopSwitchBoostSec,teleopSwitchForceSec,teleopSwitchOwnershipSec,totalPoints,vaultBoostPlayed,vaultBoostTotal,vaultForcePlayed,vaultForceTotal,vaultLevitatePlayed,vaultLevitateTotal,vaultPoints,ownPoints
frc4924,0.0,-0.5620495980695421,3.109091821249616,0.03891135173055042,3.671141419319161,-0.6539283330676163,0.09964192180689098,0.3729035340328445,15.153982989157868,0.004172591943638628,1.1517084477149375,15.521199417252525,-0.37620331026134024,0.558971918523719,-17.130282408891404,3.4042871000609716,0.01998860518331904,0.2856787560082877,-17.61959440516089,-0.7176956565847188,1.1592459762228653,1.1870190476708937,22.043058781300594,-0.027196520900860503,0.2678156569383618,0.11427408824985635,0.04582487806659185,0.6842620949817027,0.7624767689539473,5.380586519794501,-1.9640132458101938
frc4939,0.0,-4.1089385527371185,-2.0692784285040142,-0.03313280034123609,2.0396601242331043,-1.5242664665951366,-0.10938454239082288,-0.5302028097734205,18.4382745741366,0.04547845324582643,0.08314335794181156,15.208051601005181,-0.2540735639974156,0.2870752332366984,34.03501610623379,62.13544290273783,-0.2120224685408886,4.091240510089141,-5.035090949482239,1.63063522308669,-2.6691899956993543,37.6514943011702,75.33529457648213,0.1220116956529182,0.12272938690126839,0.4958360891541973,0.7084204871754349,1.0480697265608125,1.1012805703967838,9.66215222236743,57.2941358025212
frc494,0.0,10.008175298379184,14.779009262707723,0.3143964522264819,4.770833964328539,2.074905091429511,0.2728255497424018,2.929182557760084,26.078825876279897,0.2262106351912165,-0.29063347730680134,14.391415206294766,1.0538450774714032,0.23714243944966504,73.4145649203235,107.38573917094843,3.1260809573785195,0.3617643394102482,27.582508788540817,-0.8413264761117826,-0.14770686282747744,43.547301650515955,136.56558977334342,0.5253845894687176,0.6033109155041322,0.2794516172128975,0.08987016418839142,0.8926606432602977,0.8852885951764844,7.892348374345046,120.91179304392207
frc4941,0.0,1.7843775789443868,6.2716255479620955,0.21005848950964773,4.487247969017711,-0.5196905563964078,0.30759210422558203,1.4118793458686005,20.168755052257296,0.06264097592709475,-0.11874060516317553,-2.4472618901009526,-0.034233611354390674,-1.079994114513984,31.550030340367854,72.65964415998009,-1.1637415469552967,7.517793253700483,-12.492868755535111,4.81180376370853,1.8874913323474851,40.39483687914977,76.47781382115251,0.9880321045089822,1.2513193153775788,1.629882588784167,1.819319182354829,1.2032464001153347,1.1175332557385764,20.94085876735491,89.00124455736882
frc4944,0.0,11.758858160680843,17.26337069615113,0.4879495830160423,5.504512535470288,1.1702728286515682,0.4512616969037211,4.709156251688851,17.060681251204045,-0.06564403354883494,0.5549762021194091,10.975933577919093,1.232738076349244,0.15056658614482543,69.82884705142153,100.99495058084364,-1.5440318353756042,3.420836883543685,9.549370022204732,4.633114885593378,-0.9124718609074238,57.190393978999026,129.23425485491396,0.05126079852295323,0.4382360362830865,0.5333346954707553,1.3941755237236033,0.8391791071800727,0.9886728956369271,14.10542227821808,115.23829339533313
frc4946,0.0,10.623577745302658,15.660577483648122,0.3914398983708794,5.036999738345461,0.6090825552526835,0.4022987941297549,4.702706317398645,10.793028125552812,-0.22185028682701324,0.11070800732452946,22.729319241667557,1.2202561217816352,0.8545636690429272,93.0259275186846,115.6619481523088,6.318127425068429,-1.4951917534949,46.528097223963854,3.042129302533445,0.06595440243228069,37.137573567118864,154.1086175675992,1.5091251337773708,1.6083207877572114,-0.34060456810123835,-0.2025651502647806,0.9566568524277382,0.9628428641218523,11.842992508071426,123.35610128257169
frc4967,0.0,8.26133588966284,13.155655228958262,0.3445187017428363,4.894319339295408,-0.09499757734281777,0.3378948010038792,4.225665522174238,21.72350514787373,0.1279473557414056,1.4712287169245495,19.971811549314804,0.9362072762302619,0.9081734920380947,67.33795997004229,99.45041687886261,1.6761435734841088,1.0545945918084048,24.262496543751773,4.332099449069633,1.489432568367924,37.06722040373678,132.56920591993432,1.021858157850345,1.0726341673064206,0.4015270866474146,0.29050145596465793,0.7073023496700946,0.7146547289182351,10.388951760946563,100.01014679150295
frc4976,0.0,4.6853712984199145,8.327577205580742,0.07525491426275988,3.642205907160822,0.16615253479799574,0.26721834260317884,2.176533114411962,25.5103607807413,0.26014796736158063,-0.12188600450595045,4.371330273634213,0.42564603600195877,-1.5850646165538898e-5,40.24227682862562,73.69251527831047,0.97720008801535,0.3216487660745519,15.652087708432502,1.4878174716983725,1.4421750147668981,22.125171560479394,86.39142275752539,0.48522960218176936,0.5387134969844948,0.2455145026777961,0.08154982810172241,0.8099419596027023,0.9677122087024949,7.939877668943557,82.38589315322453
frc4980,0.0,13.940916536475854,18.313290589495352,0.2916640247030623,4.372374053019498,2.5754195271259506,0.4176267599321608,4.395038741111977,20.47358605421267,0.014683330465352702,-0.3170051420974133,16.844605247060603,1.2389122026155115,-0.4313713016225653,99.20263296811231,139.787460992465,2.3052186886433206,3.047611706435796,47.80193869286797,3.9698208589210275,2.117066288716526,45.12565472767995,174.9549761007234,1.3486066907130883,1.551752248317815,0.7703283935525118,1.274174091968463,1.0095684345499076,1.1963220537417218,20.11124197014,162.9437279945581
frc4984,0.0,1.6504932343037848,6.149701060457049,0.15653781335446174,4.49920782615326,-0.1622434501383995,0.09595390792928196,0.9874900672902933,28.568827640413087,0.15236211476380854,0.5995050791824977,-8.373980716954097,0.3866858337371939,0.2237815493654831,23.43228196988406,67.52409469790038,1.2858225313151257,4.04877233192117,10.942303882410542,1.9051200238932582,0.1431757629609868,9.299035532265137,65.3135814545554,0.8261636631952767,0.7509605353979407,0.9050228144781084,1.1587187307163243,1.226462349044501,1.1949177514063767,15.522985087603208,69.87501298967267
