team,adjustPoints,autoOwnershipPoints,autoPoints,autoQuestRankingPoint,autoRunPoints,autoScaleOwnershipSec,autoSwitchAtZero,autoSwitchOwnershipSec,endgamePoints,faceTheBossRankingPoint,foulCount,foulPoints,rp,techFoulCount,teleopOwnershipPoints,teleopPoints,teleopScaleBoostSec,teleopScaleForceSec,teleopScaleOwnershipSec,teleopSwitchBoostSec,teleopSwitchForceSec,teleopSwitchOwnershipSec,totalPoints,vaultBoostPlayed,vaultBoostTotal,vaultForcePlayed,vaultForceTotal,vaultLevitatePlayed,vaultLevitateTotal,vaultPoints,ownPoints
frc1123,0.0,0.7563225518721008,4.639836019574321,0.02289910092739263,3.8835134677022203,-0.26707388344438215,0.14384434599575704,0.6452351593804345,8.022249024655812,-0.0011897665073645498,0.5544520987278471,5.52853798296877,0.007677118786822818,0.05311778221615502,34.53753423637818,46.58135296710592,0.44247403887064485,0.6255968592143736,4.852344031556657,-0.5621591238265987,0.6370018341702312,29.804875289777403,56.718385158855526,0.03969359604036524,0.23917673213768095,0.1604300755156755,0.28772078547508084,0.2522307049588554,0.2774164236016304,4.021569706071963,49.048430839757806
frc1137,0.0,0.39518815132774715,4.42738974057326,0.0908732876016131,4.032201589245513,-0.06281409961002299,0.05203314964630238,0.2604081752738965,5.1005640692275,-0.02480744299577112,1.1554024769227342,1.3392564624344336,0.0020666370617833467,0.08296150901620264,40.43524990238736,51.49800212718374,-0.6043589494616849,1.015053609225121,-1.3703914715513967,1.6662784418900507,1.1752182543468912,40.7437218815104,57.25917399217436,0.177137252370323,0.37497224519892414,0.2686141867848656,0.254615712571523,0.4484160352719018,0.5628496733433245,5.962188155568863,51.70705651782594
frc116,0.0,1.8272678961147089,5.496698138963473,0.07316518495314932,3.669430242848759,0.2755527592435155,0.058840501041008714,0.6380811888138382,14.381943176403539,-0.006870571975266266,0.6930796306463007,4.541877854427647,0.3027963488290671,0.7087672711394912,48.403691834775486,77.06232120731663,1.7231122035567275,2.4239207541236905,19.662982886125675,0.02280051429887153,1.7234217197372506,26.994796230794233,87.04774531813847,0.8159889581421877,0.9183394222316215,0.6849345121121914,0.9333839331829658,1.058070743146212,1.003613883812951,14.276686196137687,74.04772313151663
frc122,0.0,1.2212027235996288,5.505972731405923,0.17374730353723655,4.284770007806288,0.20575282446694818,0.09745007059523302,0.40484853733286646,11.50229931775789,-0.027237622280508078,0.2316436184945259,8.983328198638354,0.7076601901760915,0.0875062614812347,77.72948300271658,100.61902184252892,2.5973184551981445,0.4734726325974472,42.703059355118484,1.9591190524934998,1.2821580488970767,30.46998613990644,115.1267691878272,0.7397206222304803,0.8528859342227111,0.3569294250928947,0.4133133309118508,0.9146913743126986,1.0112486392763385,11.387239522054502,104.66095378037417
frc1262,0.0,8.62061842897181,13.838561507280529,0.3956319876912288,5.217943078308722,0.5932878899516845,0.48598136872655034,3.7170213245342207,34.325913778543345,0.24201037040197812,0.0987623011832448,4.305897233504879,1.3671351910502645,0.040324066304560445,91.31674979217675,138.6446699385657,1.5799981368318297,1.693901452488521,42.3512563774738,1.3945780757825,1.3688745471555208,45.99091720208866,156.8033732225133,0.7293335719297374,0.7709961177959477,0.4512467413160273,0.6254192010074897,1.2389428875422694,1.20398595476567,13.002006367845535,151.83827248871762
frc1389,0.0,5.838971541546695,8.597316407937456,0.03949998003204224,2.7583448663907637,-0.019819690640507363,0.30958246730892747,2.9393054614138534,7.744300324994121,0.025168039001931968,0.008874787409887541,21.910842921639574,0.26193707187901344,0.07466331579077692,33.93757636886581,44.4337852426056,0.10140494425699326,-1.1976036194180057,-1.4054354984065343,1.2039332211200053,0.9585457828299917,34.03767370189533,74.94989343737993,0.35689948460947757,0.26096938972492123,-0.15962026032704618,-0.09358152894589716,0.26378247745968053,0.3829938489701122,2.7519085487456802,52.34045631139356
frc141,0.0,0.1628509846370458,1.0528985334859944,-0.10236216107194768,0.8900475488489512,0.920823044909264,-0.09745373563102731,-0.8393975525907399,3.8645741575047903,-0.04220897720897534,0.13613427484519175,6.903170944559048,0.11630184815618926,0.16199525800092723,51.299972398595855,59.997891827482476,1.0468260674213612,1.789138484739036,25.981091807577428,2.832982985109761,0.7114332311246101,21.4390715384873,67.96380626049802,0.5774203680369957,0.4220008315310133,0.4179047949181777,0.3370532863772506,0.16094361811870805,0.20761493636809697,4.833345271381801,59.194275169395056
frc1413,0.0,1.2334136935694537,6.110836706072952,0.14566163212591995,4.8774230125035,-0.2289381528091235,0.10608388147850853,0.8456449995938504,17.718755679260827,-0.002191722903318977,0.4887394115553712,2.9426260402210174,0.46227799800009356,-0.08174880405902915,63.66625043717165,100.1622402063803,3.1431986394760143,3.8419612286746094,17.7598245610193,3.176114677015217,2.336766523336092,39.58711255966113,109.18237001591685,1.0522236926359458,1.1294851102144736,1.0829479715958221,1.1542196440176953,1.5696026507459058,1.4717420637573961,18.77723408994783,105.50926497756099
frc1418,0.0,10.34010724616602,14.440171702781033,0.15565638269955404,4.100064456615009,1.5342391250734082,0.3156657996205635,3.635814498009603,26.203148041023535,0.14108429035390835,-0.26310972037499286,5.387692308244173,0.86121895398663,0.25419090187712734,92.22682474460785,125.32446003232417,0.7576886875717469,0.30610128739686604,42.0663805497462,-0.032956494765463806,0.8824125321935569,49.43571200205536,145.13130840279814,0.3970754026887759,0.36322849526634593,0.19940039456145314,0.19385690861427637,0.7039287862365124,0.8218120454579404,6.894487246692817,138.2452271387848
frc1446,0.0,1.9254589997782798,6.38992797507173,0.14204971376434902,4.464468975293458,0.06610335418873042,0.11034394326935502,0.896626145700412,7.583888602525695,-0.031052014627709727,0.7480514437593272,-0.1802532066679895,0.3596294839841463,0.5485123490047104,43.4102563072903,51.640687887421876,-1.297076497732757,-0.21475032945099543,6.359826445792419,0.5605284455775656,-0.8126082902966123,37.78697791365299,57.85592963439808,-0.11306826855799039,-0.07946785569983658,-0.176153644853704,-0.10971232922875618,0.2517283233943614,0.3184887804497769,0.6465429776059197,50.85541736874571
