team,adjustPoints,autoPoints,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,hatchPanelPoints,rp,sandStormBonusPoints,techFoulCount,teleopPoints,totalPoints,rocketLowPoints,rocketMidPoints,rocketTopPoints,rocketPoints,ownPoints
frc1023,0.0,3.1672327221227734,7.350704025293038,-0.033815904710408455,-0.01698173024940746,-0.011766323181815896,-0.04561487159257672,0.8951382654609401,9.833287028314295,0.6523964065396662,4.670284220295866,1.5480133940240537,3.1672327221227734,-0.0364302243971523,21.854275273903195,25.916646261486907,5.381611264330682,0.17840861580489775,-0.18360812669688686,5.3764117534386955,25.48622463037807
frc103,0.0,3.1800043363383077,7.787513845443843,0.15058644243015978,0.0,0.0,-0.06370197949647996,2.8910345284781926,9.297678258159555,0.667037636524262,2.5224463223600777,1.686625833033656,3.1800043363383077,-0.04906640595971896,19.60763842596347,25.678677290779977,0.6398415990296092,0.9919910013666479,0.5537979740828574,2.1856305744791142,23.4203463544287
frc1051,0.0,3.085656966661608,5.764535052364044,0.011834597126914193,0.011834597126914193,0.0,0.10302755187495934,1.1768730210076221,8.610812062442395,0.5893236258063204,2.639516678810815,1.597398331223773,3.085656966661608,-0.08832156621836512,17.01486379361726,21.277393781286484,-0.20026146686668925,2.951500742912523,-0.17467750099871152,2.5765617750471237,20.586332200619275
frc108,0.0,3.875642132975262,4.938118322304906,-0.012667573948023269,-0.012667573948023269,0.0,0.8106231871562106,1.4972453291912489,5.11965996964926,0.28797340724844145,4.191042058971748,1.076546509179924,3.875642132975262,0.06049876132654106,14.248820350925918,19.62170781309242,4.369557998538756,0.23492324242474893,1.1215071291085796,5.725988370072085,15.14810407049368
frc1080,0.0,3.023451575579494,4.048948963760236,-0.014972957273283315,-0.015938169887656003,0.0,-0.15612569211898628,-0.3698233218969487,3.354031284414588,0.04692557461719115,0.6633466617395489,0.1997746156092773,3.023451575579494,-0.015017432520842339,8.066326909914372,10.719955163596921,1.060210847452677,0.7452079372263147,0.5902385263810164,2.3956573110600092,11.69331245453841
frc1086,0.0,3.4225482588350364,4.540025584835013,-0.0063971629394095255,0.006958777334840539,0.0,-0.08746859900057626,0.17249726658839656,3.3225615342752883,-0.020921155903299578,0.7114757583562068,-0.0585473197181105,3.4225482588350364,-0.021944230326465423,8.574062877466513,12.16910840288994,-0.3275251382017001,-0.44939325427555704,-0.22959878747133225,-1.0065171799485888,12.45651500624146
frc1102,0.0,5.530814064039917,8.09891915238673,0.07940108205077187,0.0,0.079425941388164,0.20558740436923525,1.0058690854360197,6.142002853823949,0.275076408764323,5.287900623824992,1.0261394934107377,5.530814064039917,-0.016905843378627466,19.528822630035673,26.0655057795116,4.7775384142693635,3.5289077163730465,2.076152837355794,10.382598967998202,24.595027071375526
frc1123,0.0,3.3265876656414637,1.2448460973052047,0.005992774521308899,0.0,0.0,0.5017036623063815,0.11162865750383241,2.0633426044196024,0.06386517497280751,-0.0481813660461405,0.07482549103699848,3.3265876656414637,-0.05913528393992107,3.2600073356786656,6.6982236588239585,0.8169341909039,-0.02300952622681668,-0.04112203475824612,0.752802629918837,5.613701569860273
frc114,0.0,2.280614079191066,9.006705697627055,-0.050966896319895406,-0.014332367748186456,-0.011421123847003757,-0.04493976317736535,0.41488582565980914,2.2189627534377867,0.02560376261712155,1.4039046903142933,0.3705744258713944,2.280614079191066,-0.02363584944316049,12.62957314137913,15.325073046229997,3.8279849930684864,0.8317220641974715,-1.151702977920581,3.5080040793453784,15.257729155090736
frc1143,0.0,2.6418494012554308,3.715992818468667,-0.029052846624436635,0.0,0.0,0.1609371432655613,0.4667514861270839,2.5731458427086817,0.020401090159037984,1.1806639239831225,0.09149650684599467,2.6418494012554308,0.13940974795768016,7.469802585160473,10.578403472542988,0.16807539413981762,-0.45321209357354775,-0.3342314927493875,-0.6193681921831173,8.374152825000097
frc1159,0.0,3.723354871579172,7.975993911950553,-0.04221396234696696,-0.003614160031551581,-0.005160094585515961,-0.00902462211833632,0.28057893856506144,3.5630116920089066,0.034354400340800166,2.668895146809266,0.8016631268415964,3.723354871579172,0.08359729380230055,14.207900750768724,18.211834560912955,1.5486265086907232,1.0402898508802854,0.3574702750268005,2.946386634597809,17.205953844482202
frc116,0.0,3.220582037193324,6.3237860689886745,-0.01493770743715902,0.0,0.0,0.38076490320295936,-0.957657873976685,4.5474989235596315,0.25818795841326697,0.35848739232456645,0.6045817379880274,3.220582037193324,0.07824817279020224,11.229772384872872,13.49269654808952,0.9343376353781119,-0.5268237479372022,0.05485865046530563,0.4623725379062141,12.603826157345502
frc1160,0.0,2.9784893883865116,7.0179001030968164,-0.03254314521228284,0.0,-0.004815444752622564,0.20214539337882145,0.9829512007366283,2.4736455039612983,0.0538099245292482,5.451678823082553,0.17834232480047474,2.9784893883865116,-0.10084154020009405,14.943224430140665,18.904665019263803,5.102879311953279,0.8289675686049511,0.410119132383406,6.341966012941635,18.222851500191567
frc1164,0.0,5.275526491513381,2.856090372194783,-0.026026754346085538,0.0,-0.0073855883955306675,1.0168945186974332,-1.402848701296567,2.4994041466000376,-0.00013319777675321496,0.4990822613803392,0.26615564757175814,5.275526491513381,0.014020935128021553,5.854576780175161,9.727254570391974,0.38328143162376027,0.41342102244189716,0.9666136969034456,1.7633161509691047,7.953231299444049
