team,adjustPoints_mean,foulPoints_mean,cargoPoints_mean,completeRocketRankingPoint_mean,rocketPoints_mean,rp_mean,sandStormBonusPoints_mean,rocketLowPoints_mean,rocketMidPoints_mean,teleopPoints_mean,win_mean,autoPoints_mean,completedRocketNear_mean,habDockingRankingPoint_mean,completedRocketFar_mean,totalPoints_mean,hatchPanelPoints_mean,foulCount_mean,habClimbPoints_mean,ownPoints_mean,rocketTopPoints_mean,techFoulCount_mean
frc2363,3.2,0.7,0.9,0.0,3.6,0.55,2.4,-0.4,3.9,5.35,0.65,2.4,0.0,0.25,0.0,11.65,2.2,-0.4,2.25,11.7,0.1,0.05
frc612,3.2,1.05,1.95,0.0,2.7,1.5,2.55,0.3,2.8,8.4,0.85,2.55,0.0,0.4,0.0,15.2,2.4,-0.35,4.05,15.2,-0.4,0.0
frc1731,3.0476190476190474,0.8571428571428571,1.0,0.0,3.9047619047619047,-0.23809523809523808,1.7142857142857142,1.3333333333333333,2.4761904761904763,0.6190476190476191,0.5238095238095238,1.7142857142857142,0.0,-0.047619047619047616,0.0,6.238095238095238,1.619047619047619,-0.2857142857142857,-2.0,6.238095238095238,0.09523809523809523,0.0
frc4099,0.0,1.1875,3.5625,0.0,2.6875,0.75,1.6875,2.8125,-0.6875,8.5,0.6875,1.6875,0.0,0.125,0.0,11.375,1.75,-0.1875,3.1875,11.3125,0.5625,-0.0625
frc5338,0.0,1.9375,0.9375,0.0,-4.25,0.875,0.0,-1.0625,-2.75,5.5,0.625,0.0,0.0,0.5,0.0,7.4375,-1.25,-0.4375,5.8125,7.375,-0.4375,-0.0625
frc4505,0.0,-1.0,1.3125,0.0,-0.4375,-0.25,1.875,-0.375,-0.3125,0.8125,0.5,1.875,0.0,-0.125,0.0,1.6875,-0.125,0.125,-0.375,1.75,0.25,0.0625
frc1418,0.0,0.7,1.8,0.05,11.05,0.4,-1.05,5.25,2.8,8.95,0.6,-1.05,0.0,0.05,0.0,8.6,6.4,0.1,0.75,8.5,3.0,-0.1
frc614,0.0,3.75,6.15,0.0,2.65,1.15,1.5,2.6,0.3,12.4,0.75,1.5,0.0,0.25,0.0,17.65,1.9,-0.75,4.35,17.5,-0.25,-0.15
frc6543,0.0,0.2,1.2,-0.05,0.55,-0.75,-1.35,1.35,-0.1,0.3,0.4,-1.35,0.0,-0.2,0.0,-0.85,0.3,0.6,-1.2,-1.05,-0.7,-0.2
frc2199,0.0,-0.9411764705882353,0.0,0.0,-2.588235294117647,-0.17647058823529413,-0.8823529411764706,-2.5294117647058822,-0.35294117647058826,0.11764705882352941,0.47058823529411764,-0.8823529411764706,0.0,-0.058823529411764705,0.0,-1.7058823529411764,-2.7058823529411766,0.11764705882352941,2.823529411764706,-1.6470588235294117,0.29411764705882354,0.058823529411764705
frc2534,0.0,0.11764705882352941,1.411764705882353,0.0,-1.2352941176470589,1.2941176470588236,-0.17647058823529413,0.17647058823529413,-0.5882352941176471,5.176470588235294,0.7647058823529411,-0.17647058823529413,0.0,0.23529411764705882,0.0,5.117647058823529,-1.1764705882352942,-0.23529411764705882,4.9411764705882355,5.176470588235294,-0.8235294117647058,0.058823529411764705
frc5549,0.0,-2.0,-1.2352941176470589,0.0,-1.411764705882353,-0.5294117647058824,-0.8823529411764706,-1.6470588235294117,0.35294117647058826,-2.2941176470588234,0.4117647058823529,-0.8823529411764706,0.0,-0.17647058823529413,0.0,-5.176470588235294,-1.411764705882353,-0.11764705882352941,0.35294117647058826,-4.9411764705882355,-0.11764705882352941,0.23529411764705882
frc2988,-4.571428571428571,-1.2857142857142858,-0.21428571428571427,0.0,-1.9285714285714286,0.5,-0.8571428571428571,1.4285714285714286,-2.9285714285714284,0.5714285714285714,0.5714285714285714,-0.8571428571428571,0.0,0.07142857142857142,0.0,-6.142857142857143,-0.2857142857142857,0.42857142857142855,1.0714285714285714,-6.142857142857143,-0.42857142857142855,0.0
frc3941,0.0,-2.8181818181818183,1.0909090909090908,0.0,-3.272727272727273,-1.1818181818181819,-1.9090909090909092,-3.1818181818181817,0.2727272727272727,-8.454545454545455,0.2727272727272727,-1.9090909090909092,0.0,-0.2727272727272727,0.0,-13.181818181818182,-3.8181818181818183,0.6363636363636364,-5.7272727272727275,-13.090909090909092,-0.36363636363636365,0.09090909090909091
frc2421,0.0,-0.36363636363636365,-2.727272727272727,0.0,0.45454545454545453,-1.8181818181818181,-3.8181818181818183,0.6363636363636364,-0.36363636363636365,-8.727272727272727,0.13636363636363635,-3.8181818181818183,0.0,-0.36363636363636365,0.0,-12.909090909090908,-1.6363636363636365,-0.18181818181818182,-4.363636363636363,-12.818181818181818,0.18181818181818182,0.09090909090909091
frc1719,0.0,1.0714285714285714,-0.6428571428571429,0.07142857142857142,2.642857142857143,0.35714285714285715,0.42857142857142855,0.8571428571428571,1.1428571428571428,4.571428571428571,0.5,0.42857142857142855,0.0,0.14285714285714285,0.0,6.071428571428571,3.2857142857142856,-0.35714285714285715,1.9285714285714286,6.071428571428571,0.6428571428571429,0.0
frc623,0.0,-0.2727272727272727,-1.0909090909090908,0.0,1.0,-0.18181818181818182,0.5454545454545454,0.09090909090909091,0.36363636363636365,-1.8181818181818181,0.5,0.5454545454545454,0.0,-0.18181818181818182,0.0,-1.5454545454545454,1.4545454545454546,0.09090909090909091,-2.1818181818181817,-1.5454545454545454,0.5454545454545454,0.0
frc4464,0.0,-1.3636363636363635,-4.909090909090909,0.0,-4.181818181818182,-1.1818181818181819,-4.090909090909091,-3.272727272727273,-1.1818181818181819,-16.09090909090909,0.2727272727272727,-4.090909090909091,0.0,-0.2727272727272727,0.0,-21.545454545454547,-3.8181818181818183,0.45454545454545453,-7.363636363636363,-21.545454545454547,0.2727272727272727,0.0
frc2961,0.0,0.36363636363636365,-3.5454545454545454,0.09090909090909091,-3.5454545454545454,0.0,-1.0909090909090908,-3.5454545454545454,0.0,-5.7272727272727275,0.5,-1.0909090909090908,0.0,-0.09090909090909091,0.0,-6.454545454545454,-1.0909090909090908,0.18181818181818182,-1.0909090909090908,-6.545454545454546,0.0,-0.09090909090909091
frc4242,0.0,-1.2307692307692308,2.076923076923077,-0.07692307692307693,-1.5384615384615385,0.46153846153846156,2.769230769230769,-0.6923076923076923,-0.3076923076923077,3.0,0.5384615384615384,2.769230769230769,0.0,0.07692307692307693,0.0,4.538461538461538,-1.3846153846153846,0.15384615384615385,2.3076923076923075,4.615384615384615,-0.5384615384615384,0.07692307692307693
frc1629,0.0,-2.857142857142857,1.5,0.0,3.7142857142857144,-0.14285714285714285,1.5,2.2857142857142856,0.8571428571428571,3.7142857142857144,0.4642857142857143,1.5,0.0,-0.14285714285714285,0.0,2.357142857142857,4.142857142857143,0.7142857142857143,-1.9285714285714286,2.4285714285714284,0.5714285714285714,0.07142857142857142
frc2819,0.0,-1.5454545454545454,-3.0,0.0,-4.7272727272727275,-1.5454545454545454,-4.636363636363637,-3.6363636363636362,-0.5454545454545454,-9.636363636363637,0.13636363636363635,-4.636363636363637,0.0,-0.09090909090909091,0.0,-15.818181818181818,-3.090909090909091,0.8181818181818182,-3.5454545454545454,-15.909090909090908,-0.5454545454545454,-0.09090909090909091
frc116,-4.571428571428571,-2.642857142857143,1.5,0.0,-4.071428571428571,0.42857142857142855,-0.6428571428571429,-0.35714285714285715,-3.4285714285714284,1.8571428571428572,0.5,-0.6428571428571429,0.0,0.2857142857142857,0.0,-6.0,-2.857142857142857,0.6428571428571429,3.2142857142857144,-5.928571428571429,-0.2857142857142857,0.07142857142857142
frc316,0.0,-1.5454545454545454,1.9090909090909092,0.0,2.0,-0.36363636363636365,1.3636363636363635,0.9090909090909091,0.9090909090909091,2.6363636363636362,0.45454545454545453,1.3636363636363635,0.0,-0.18181818181818182,0.0,2.4545454545454546,2.909090909090909,0.8181818181818182,-2.1818181818181817,2.3636363636363638,0.18181818181818182,-0.09090909090909091
frc888,0.0,1.7142857142857142,-1.9285714285714286,0.0,-1.7857142857142858,-0.14285714285714285,0.0,-1.2142857142857142,-0.7142857142857143,-4.5,0.42857142857142855,0.0,0.0,0.0,0.0,-2.7857142857142856,-1.2857142857142858,-0.5714285714285714,-1.2857142857142858,-2.7857142857142856,0.14285714285714285,0.0
frc2028,0.0,1.7142857142857142,-0.42857142857142855,0.0,-2.2142857142857144,0.5714285714285714,0.8571428571428571,-0.5,-1.5714285714285714,-1.5714285714285714,0.6071428571428571,0.8571428571428571,0.0,0.0,0.0,1.0,-2.0,-0.5714285714285714,0.8571428571428571,1.0,-0.14285714285714285,0.0
frc3373,0.0,0.25,-1.75,0.0,3.8333333333333335,0.0,-1.75,1.4166666666666667,1.4166666666666667,-0.3333333333333333,0.5,-1.75,0.0,0.0,0.0,-1.8333333333333333,1.6666666666666667,-0.08333333333333333,-0.25,-1.8333333333333333,1.0,0.0
frc1895,0.0,-0.07142857142857142,1.5,0.0,-0.07142857142857142,0.0,0.8571428571428571,0.8571428571428571,-0.9285714285714286,0.9285714285714286,0.4642857142857143,0.8571428571428571,0.0,0.0,0.0,1.7142857142857142,0.2857142857142857,-0.21428571428571427,-0.8571428571428571,1.7857142857142858,0.0,0.07142857142857142
frc611,-4.571428571428571,1.0714285714285714,1.7142857142857142,0.0,-0.6428571428571429,-0.7857142857142857,-0.8571428571428571,1.0714285714285714,-1.7142857142857142,-4.642857142857143,0.32142857142857145,-0.8571428571428571,0.0,-0.21428571428571427,0.0,-9.0,-2.2857142857142856,-0.35714285714285715,-4.071428571428571,-9.0,0.0,0.0
frc2186,0.0,-2.230769230769231,-1.3846153846153846,0.0,-0.23076923076923078,0.07692307692307693,-1.8461538461538463,1.3076923076923077,-0.9230769230769231,-3.230769230769231,0.46153846153846156,-1.8461538461538463,0.0,-0.07692307692307693,0.0,-7.3076923076923075,0.0,0.23076923076923078,-1.8461538461538463,-7.153846153846154,-0.6153846153846154,0.15384615384615385
frc6584,0.0,1.3636363636363635,-1.9090909090909092,0.0,-1.3636363636363635,-0.18181818181818182,-1.9090909090909092,-1.6363636363636365,0.6363636363636364,-1.6363636363636365,0.45454545454545453,-1.9090909090909092,0.0,0.0,0.0,-2.1818181818181817,0.5454545454545454,-0.45454545454545453,-0.2727272727272727,-2.1818181818181817,-0.36363636363636365,0.0
frc6863,0.0,1.1818181818181819,-2.1818181818181817,-0.09090909090909091,-3.909090909090909,-0.8181818181818182,-1.6363636363636365,-1.7272727272727273,-1.3636363636363635,-8.454545454545455,0.36363636363636365,-1.6363636363636365,0.0,-0.18181818181818182,0.0,-8.909090909090908,-2.727272727272727,-0.09090909090909091,-3.5454545454545454,-9.0,-0.8181818181818182,-0.09090909090909091
frc339,0.0,-1.6923076923076923,-0.46153846153846156,0.0,0.5384615384615384,1.2307692307692308,3.4615384615384617,1.8461538461538463,-0.8461538461538461,2.4615384615384617,0.6923076923076923,3.4615384615384617,0.0,0.15384615384615385,0.0,4.230769230769231,0.15384615384615385,0.3076923076923077,2.769230769230769,4.3076923076923075,-0.46153846153846156,0.07692307692307693
frc3455,0.0,-1.0,-0.42857142857142855,0.0,-2.9285714285714284,0.2857142857142857,0.42857142857142855,-1.9285714285714286,-0.7142857142857143,-2.142857142857143,0.5714285714285714,0.42857142857142855,0.0,-0.14285714285714285,0.0,-2.7142857142857144,-0.42857142857142855,0.5714285714285714,-1.2857142857142858,-2.7857142857142856,-0.2857142857142857,-0.07142857142857142
frc620,0.0,-0.18181818181818182,-7.363636363636363,0.0,0.0,-1.5454545454545454,0.5454545454545454,-1.2727272727272727,1.0909090909090908,-10.363636363636363,0.18181818181818182,0.5454545454545454,0.0,-0.2727272727272727,0.0,-10.0,0.5454545454545454,0.36363636363636365,-3.5454545454545454,-10.090909090909092,0.18181818181818182,-0.09090909090909091
