team,adjustPoints,autoPoints,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,hatchPanelPoints,rp,sandStormBonusPoints,techFoulCount,teleopPoints,totalPoints,rocketLowPoints,rocketMidPoints,rocketTopPoints,rocketPoints,shipFarPoints,shipNearPoints,shipCenterPoints,shipPoints,ownPoints
frc1023,0.0,3.7444899353735797,8.534578493320822,-0.03218761762920205,-0.016378721915660595,-0.011310570997467115,-0.03060741581160029,0.8991324407010288,10.387994041832163,0.6791448925622915,4.977797189696998,1.575167235974392,3.7444899353735797,-0.039801919202448174,23.900369724849988,28.5439921009246,5.62141471990923,0.20693338575531,-0.2040824517054741,5.624265653959064,2.0119039783381116,1.0137397140556992,4.864583583527776,7.890227275921582,28.094899180480404
frc103,0.0,3.766090684576482,8.989495644564906,0.15223963412253114,0.0006122313314937145,0.0004627229028847069,-0.0484649850456253,2.895089794531091,9.860869501910262,0.6941952399877444,2.8346626951226312,1.714194992333873,3.766090684576482,-0.052489670754767764,21.685027841597808,28.34620832070539,0.8833128426082685,1.0209520569772381,0.5330104947729871,2.437275394358492,3.1924172499913785,3.1034129602193854,3.0932023652202045,9.389032575430964,26.06892051810409
frc1051,0.0,3.7581863760490943,7.143799578636365,0.013731621406386,0.012537127696028655,0.0005309708399156423,0.1205118814616798,1.1815264064544317,9.25706952206496,0.6204867591442311,2.997782476003167,1.6290337216013513,3.7581863760490943,-0.09224973526327103,19.39865157670449,24.338364359208022,0.07911984296762764,2.9847333232030877,-0.19853096768488698,2.865322198485825,1.7039532259607206,2.3510374905711915,3.1087866758283864,7.163777392360291,23.625549925738
frc108,0.0,4.431639705748525,6.078392216822188,-0.011099254585099212,-0.01208677363539098,0.0004389674177599937,0.8250779376490376,1.5010924040960634,5.653937837533157,0.3137367809448696,4.487229721349285,1.1027003100667698,4.431639705748525,0.05725124170297553,16.21955977570464,22.152291885549232,4.6005298013742175,0.2623974817972311,1.1017868471482406,5.9647141303196864,0.11657374089433799,2.198968927364491,2.3435433271557153,4.65908599541454,17.660704493179274
frc1080,0.0,3.6129449792577373,5.257918160966701,-0.013310155195401564,-0.015322379513890075,0.00046541281809644357,-0.14080012149673624,-0.365744481644944,3.9204964890698415,0.07424105150819428,0.977378020458516,0.22750404080624143,3.6129449792577373,-0.018460597545572024,10.155792670495066,13.40299316810787,1.3050974456585653,0.7743373501486988,0.5693302046480445,2.6487650004553083,2.5113677769735845,1.7546965004827009,-0.6773709700876974,3.5886933073685827,14.357283392153164
frc1086,0.0,4.0647783550531456,5.857150422877193,-0.004585604859528867,0.007629656955420203,0.0005070491324960902,-0.0707719869029499,0.17694100412838965,3.93970330485314,0.008837991938713801,1.0536006887916758,-0.02833719132447815,4.0647783550531456,-0.025695424472708922,10.85045441652202,15.092173775703555,-0.06073073041535558,-0.41765789379961443,-0.2523775893960692,-0.7307662136110404,2.384012896216587,2.9261955346531394,2.3336644468835352,7.643872877753255,15.358807552538389
frc1102,0.0,6.155460343098341,9.37998202063803,0.0811630409196558,0.0006525113991993586,0.07991910786506784,0.2218268747414276,1.01019115650652,6.742247708297515,0.3040207716600011,5.620658409590704,1.0555224893215225,6.155460343098341,-0.020554332415928796,21.74288813852625,28.908539638131117,5.037028175148991,3.559774184563511,2.0539977033197463,10.650800063032245,2.4716765930896956,1.2553584234163908,0.6250964097613919,4.352131426267473,27.417856849143675
frc1123,0.0,3.9327114151992912,2.487921826971333,0.007702486324578456,0.000633162590047139,0.0004785426955360251,0.5174615864353204,0.11582256693855442,2.6457885006710424,0.09195125561565716,0.27470920989213343,0.10333719798502224,3.9327114151992912,-0.06267558495450995,5.408419537534511,9.456953519672373,1.0687293461929177,0.006941663850571312,-0.06262020638607926,1.0130508036574077,0.8963184733824029,0.9609822061237293,-0.1054973236126835,1.7518033558934436,8.35282645801844
frc114,0.0,2.824977486151808,10.123119531938793,-0.049431393804397934,-0.013763720594977913,-0.010991341756616766,-0.030787476170437166,0.418652401099289,2.742060937076086,0.050828041583371064,1.6938946702837303,0.39618096239766526,2.824977486151808,-0.026815415205719853,14.559075139298617,17.80270502654971,4.054123745574607,0.8586214092321276,-1.1710106159388758,3.741734538867857,3.8687545640289582,4.251826415601646,-0.04330471633890669,8.07727626329169,17.71775379081322
frc1143,0.0,3.1735087776251696,4.806352448324412,-0.02755317875667632,0.0005553764029386427,0.0004197520906590092,0.17475915258525027,0.4704301594611052,3.08403627093568,0.045036699851185476,1.463886289653896,0.11650545319776072,3.1735087776251696,0.1363043850166131,9.354275008913993,12.99821394600027,0.3889366544542985,-0.42694050951222023,-0.3530885405537037,-0.3910923956116275,1.9817331666686193,2.472104029318082,2.2094439420741603,6.663281138060854,10.776766863633892
frc1159,0.0,4.290294104282497,9.138707633171938,-0.04061477950914453,-0.0030219299576769937,-0.0047124885829118845,0.005714588185128864,0.2845017213279594,4.107803790574395,0.060624779980134436,2.970911584051862,0.8283316170170214,4.290294104282497,0.0802858651671183,16.217423007798196,20.79221883340866,1.7841436819447147,1.068304764886564,0.33736191112240055,3.1898103579536787,2.876767286789896,3.767851795686024,2.277269179674412,8.921888262150327,19.768000561021253
