team,adjustPoints,autoPoints,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,hatchPanelPoints,rp,sandStormBonusPoints,techFoulCount,teleopPoints,totalPoints,rocketLowPoints,rocketMidPoints,rocketTopPoints,rocketPoints,shipFarPoints,shipNearPoints,shipCenterPoints,shipPoints,ownPoints
frc1080,0.0,3.475045186795989,5.430473567187409,-0.021438458018328114,-0.01735386757965006,0.0,-0.10871972425844105,-0.2561925621526631,3.9594237434045136,0.07038056466670418,1.1239117333476756,0.21764413197573879,3.475045186795989,-0.01773718165777256,10.51380904393959,13.732661668582908,1.4432382506603065,0.8562200478015615,0.5502065044993979,2.8496648029612675,2.557111694932518,1.792008656671619,-0.6443998540303248,3.7047204975738097,14.474648038430834
frc1086,0.0,3.914541903841716,6.045142815071228,-0.013441074100550865,0.005416429856018944,0.0,-0.035821643987304634,0.29629355219321657,3.98211303181678,0.004632141932269563,1.2132434599249864,-0.03907917784613157,3.914541903841716,-0.024907291047757567,11.240499306813007,15.451334762847898,0.0897682945683732,-0.3284498849159394,-0.2732121156348315,-0.5118937059823986,2.433849112616717,2.9668456751123733,2.369585193249515,7.770279980978608,15.486671762046418
frc1123,0.0,3.7909212971952164,2.6653452369236144,-0.0006551260826722416,-0.001455636293735641,0.0,0.550447011785378,0.22846508303727953,2.685813941515839,0.0879818596141375,0.42537682201266896,0.09319912879993493,3.7909212971952164,-0.06193176060012914,5.776536000452115,9.795922380684603,1.2107672760020416,0.09113437477079886,-0.08228341002362859,1.2196182407492122,0.9433528844542327,0.999346984884949,-0.07159605115212136,1.8711038181870563,8.47350210769234
frc116,0.0,3.699590404489962,7.789178466558556,-0.02179570737054241,-0.001501640021436425,0.0,0.4310487307438908,-0.8371289662422204,5.189642758529514,0.28306682341383915,0.8470118477316747,0.6235360536525498,3.699590404489962,0.07536331666916907,13.825833072819746,16.688294511067475,1.3406173667191268,-0.4090724589108614,0.012396416800302915,0.9439413246085664,3.4201953182844487,3.1770739233773693,1.0949797480198415,7.692248989681657,15.554007435055505
frc122,0.0,4.445129545944564,6.399805443849301,-0.026175065076100384,-0.015433198994510644,0.0,0.015073162075115647,0.24832712859820183,4.605984498196158,0.05094520133102966,2.4544567833684154,0.3118004371959774,4.445129545944564,0.04001892265054082,13.460246725413873,18.15370339995661,0.7236994294304105,-0.025153661769407795,-0.20186546849969547,0.49668029916130696,2.367003526838866,3.724934084865321,2.265644316352217,8.357581928056401,17.499986481278206
frc1262,0.0,3.7831115308104857,9.950070680864174,0.08352058214231496,0.08372980229798545,0.0,0.3028006105312387,0.1846271352387301,5.575000858522593,0.13025527959856417,6.566010095037772,1.0819987492785303,3.7831115308104857,-0.03839921203816528,22.091081634424537,26.05882030047375,6.024936094291153,3.568390658546909,2.594122616504646,12.187449369342705,-0.7651711924148408,2.996063567864102,2.097739031109975,4.328631406559233,25.311384241984783
frc1413,0.0,3.547533766270568,7.670580654159973,-0.0071440411543295685,-0.0038790068524764717,0.0,-0.1548517365976293,1.9310959110101442,5.663898473811808,0.19928595657220233,2.238168144367118,0.7958884770607202,3.547533766270568,-0.028917643363799206,15.572647272338896,21.05127694961959,1.894945056274549,1.0880546859249989,-0.06931080899435867,2.91368893320519,4.147059802702552,2.3066413954161313,0.5413586672032119,6.995059865321893,19.844995038676522
frc1418,0.0,3.0972585148791683,7.602673518934816,0.08378748317340924,-0.0014093014101401115,0.0,0.37024263813293873,0.02746757495513318,5.030705965421579,0.2112575800822848,9.461692807074796,0.9035112912048338,3.0972585148791683,0.04878912796308117,22.095072291431183,25.21979838126547,5.696583525847713,4.815894098996945,5.246875395004844,15.7593530198495,-0.8752245944630966,0.47904943687842133,1.7011884637447752,1.3050133061600988,23.642500740243783
frc1522,0.0,2.1934068123508337,4.430305266813507,-0.00038231661326077794,0.0017652828701466962,0.0,0.08313222711888096,2.021234633550236,0.5649265039127357,-0.10744856665390458,1.4505894835330284,0.22496020293470215,2.1934068123508337,-0.031048199219717593,6.445821254259267,10.660462700160318,0.28556196672628775,-0.18814914290487292,-0.1752329175339869,-0.07782009371257208,1.225081057358689,1.9732697694408297,2.760364017259583,5.9587148440591005,8.669265178230896
frc1598,0.0,4.294001884726996,2.9203919723009593,-0.019220556858557,-0.008935649563133197,0.0,-0.2796996687496864,0.13216339861733764,1.4974458548978573,0.0026101126671455783,0.9858663533735251,-0.16248103159286426,4.294001884726996,-0.05189396554306612,5.403704180572332,9.829869463916657,-0.45342525318098414,0.4846773982713214,-0.01396667076592342,0.017285474324411736,0.22688838373327014,2.949382359789297,0.7127021078274968,3.8889728513500605,11.003850761435968
frc1599,0.0,4.115238123629599,5.700954242602953,-0.028997601197950782,-0.009392786751968044,0.0,0.4474701721713977,-0.26458732190423945,8.771687527848027,0.37300698629037493,3.129729565897649,0.962449353574109,4.115238123629599,0.06379858830135053,17.602371336348632,21.453022138073976,1.1895213878742579,-0.034096579575306284,0.4636190592561451,1.6190438675550978,2.2119459279789444,0.6187330072981571,4.3809610056683965,7.211639940945501,19.801011648751864
frc1610,0.0,5.982422504570816,2.892248211277642,0.07418516387138634,0.08405486354864153,0.0,0.3043627300849899,1.0990041573742415,2.874345726803846,-0.037231690758843645,11.021329596418102,1.1468307959405297,5.982422504570816,0.058483646980646405,16.78792353449959,23.869350196444632,4.783545640743327,3.5295991984415656,2.9831155625748544,11.296260401759746,0.8190664680936521,0.15584799565083318,1.6424029421915054,2.617317405935989,21.330905025989587
