0,2,12,false,"None","AutoRun","AutoRun",10,0,false,1,35,"Parking","None","Climbing",false,1,5,0,"RRR",0,38,78,0,0,0,0,10,38,95,0,0,1,1,0,0,5,"2018chcmp_qm10"
0,14,29,true,"AutoRun","AutoRun","AutoRun",15,0,true,7,40,"Parking","Levitate","Parking",false,1,5,3,"RRR",0,267,352,10,10,111,10,10,136,386,3,3,3,3,3,3,45,"2018chcmp_qm10"
0,24,39,true,"AutoRun","AutoRun","AutoRun",15,2,true,10,60,"Levitate","None","Climbing",false,1,5,1,"RLR",0,96,171,0,0,62,0,0,34,215,0,0,0,0,3,3,15,"2018chcmp_qm100"
0,14,29,true,"AutoRun","AutoRun","AutoRun",15,3,true,4,65,"Parking","Climbing","Levitate",false,1,5,3,"RLR",0,178,288,5,10,28,9,0,136,322,3,3,2,3,3,3,45,"2018chcmp_qm100"
0,16,31,true,"AutoRun","AutoRun","AutoRun",15,0,true,8,10,"None","Parking","Parking",false,2,80,1,"LRL",0,46,56,0,0,13,0,0,33,167,0,0,0,0,0,0,0,"2018chcmp_qm101"
0,36,51,true,"AutoRun","AutoRun","AutoRun",15,10,true,8,90,"Levitate","Climbing","Climbing",true,1,10,4,"LRL",3,249,384,10,10,93,10,10,136,445,3,3,3,3,3,3,45,"2018chcmp_qm101"
0,4,19,true,"AutoRun","AutoRun","AutoRun",15,0,true,2,35,"Parking","None","Levitate",false,0,25,1,"RLR",1,46,96,0,0,0,0,0,46,140,0,0,0,0,3,3,15,"2018chcmp_qm102"
0,14,29,true,"AutoRun","AutoRun","AutoRun",15,3,true,4,65,"Climbing","Parking","Levitate",false,0,25,3,"RLR",1,181,286,10,5,136,0,0,35,340,3,3,2,2,3,3,40,"2018chcmp_qm102"
0,16,31,true,"AutoRun","AutoRun","AutoRun",15,0,true,8,65,"Levitate","Climbing","Parking",false,0,35,3,"RLR",0,151,261,0,10,15,0,0,136,327,2,3,2,3,3,3,45,"2018chcmp_qm103"
0,0,10,false,"AutoRun","None","AutoRun",10,0,false,0,35,"Parking","Climbing","None",false,2,0,0,"RLR",1,105,145,0,0,94,0,10,11,155,0,0,1,1,0,0,5,"2018chcmp_qm103"
0,10,25,true,"AutoRun","AutoRun","AutoRun",15,1,true,4,65,"Levitate","Climbing","Parking",false,0,55,2,"RLR",0,204,299,0,10,68,0,10,136,379,0,0,3,3,3,3,30,"2018chcmp_qm104"
0,32,47,true,"AutoRun","AutoRun","AutoRun",15,5,true,11,90,"Climbing","Levitate","Climbing",true,1,0,3,"RLR",2,207,332,0,10,62,10,0,135,379,1,2,2,2,3,3,35,"2018chcmp_qm104"
0,16,31,true,"AutoRun","AutoRun","AutoRun",15,0,true,8,30,"None","None","Levitate",false,0,25,1,"RLR",0,94,164,0,10,49,0,10,45,220,0,2,3,3,3,3,40,"2018chcmp_qm105"
0,12,27,true,"AutoRun","AutoRun","AutoRun",15,0,true,6,35,"None","Parking","Levitate",false,0,0,3,"RLR",1,226,286,0,0,81,9,0,136,313,1,2,0,0,3,3,25,"2018chcmp_qm105"
0,18,33,true,"AutoRun","AutoRun","AutoRun",15,0,true,9,90,"Climbing","Levitate","Climbing",true,0,0,2,"RRR",1,148,283,0,10,11,10,10,127,316,1,3,3,3,3,3,45,"2018chcmp_qm106"
0,34,49,true,"AutoRun","AutoRun","AutoRun",15,6,true,11,60,"Climbing","Levitate","None",false,0,25,3,"RRR",0,207,302,10,0,127,0,10,70,376,2,2,1,2,3,3,35,"2018chcmp_qm106"
0,16,31,true,"AutoRun","AutoRun","AutoRun",15,0,true,8,65,"Climbing","Parking","Levitate",false,0,0,1,"LRL",0,157,252,0,10,11,10,0,136,283,1,1,2,2,3,3,30,"2018chcmp_qm107"
0,16,31,true,"AutoRun","AutoRun","AutoRun",15,0,true,8,10,"Parking","Parking","None",false,0,0,3,"LRL",0,276,311,10,0,120,10,0,136,342,3,3,0,0,0,2,25,"2018chcmp_qm107"
0,30,45,true,"AutoRun","AutoRun","AutoRun",15,7,true,8,35,"Parking","Climbing","None",false,0,0,3,"LLL",1,290,365,10,10,134,10,0,136,410,3,3,2,2,0,3,40,"2018chcmp_qm108"
0,16,31,true,"AutoRun","AutoRun","AutoRun",15,0,true,8,90,"Levitate","Climbing","Climbing",true,0,25,2,"LLL",0,116,246,0,0,0,0,10,116,302,3,3,1,2,3,3,40,"2018chcmp_qm108"
0,8,23,true,"AutoRun","AutoRun","AutoRun",15,0,true,4,30,"None","None","Climbing",false,2,5,3,"LLL",0,215,260,10,0,123,0,10,82,288,2,2,1,1,0,0,15,"2018chcmp_qm109"
0,18,33,false,"AutoRun","AutoRun","AutoRun",15,9,false,0,60,"Climbing","Levitate","None",false,1,10,0,"LLL",0,141,216,0,0,11,0,0,130,259,0,0,0,0,3,3,15,"2018chcmp_qm109"
0,2,17,false,"AutoRun","AutoRun","AutoRun",15,1,false,0,65,"Parking","Levitate","Climbing",false,4,10,0,"RLR",1,220,330,10,10,75,10,10,125,357,3,3,3,3,3,3,45,"2018chcmp_qm11"
0,22,37,true,"AutoRun","AutoRun","AutoRun",15,2,true,9,65,"Climbing","Levitate","Parking",false,2,45,3,"RLR",0,176,286,0,10,34,6,10,136,367,3,3,3,3,3,3,45,"2018chcmp_qm11"
0,26,41,true,"AutoRun","AutoRun","AutoRun",15,3,true,10,90,"Climbing","Climbing","Levitate",true,0,5,4,"RLR",0,278,413,10,2,122,10,2,136,459,3,3,3,3,3,3,45,"2018chcmp_qm110"
0,26,41,true,"AutoRun","AutoRun","AutoRun",15,3,true,10,65,"Climbing","Parking","Levitate",false,1,0,1,"RLR",0,141,221,0,0,5,0,0,136,262,0,0,0,0,3,3,15,"2018chcmp_qm110"
0,16,31,true,"AutoRun","AutoRun","AutoRun",15,0,true,8,35,"Levitate","None","Parking",false,0,60,3,"RLR",0,267,347,9,0,112,10,0,136,438,3,3,3,3,3,3,45,"2018chcmp_qm111"
0,18,33,true,"AutoRun","AutoRun","AutoRun",15,0,true,9,60,"Climbing","None","Levitate",false,2,0,1,"RLR",2,160,255,0,10,14,10,0,136,288,1,1,2,3,3,3,35,"2018chcmp_qm111"
